"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 19:35:09 BST 2023","Sun Apr 23 19:35:11 BST 2023","1983","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","And I select 100 to 10000 price range",""
"passed","Sun Apr 23 19:35:13 BST 2023","Sun Apr 23 19:35:14 BST 2023","633","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","Then I should see all cryptocurrency data filtered",""
"passed","Sun Apr 23 19:35:02 BST 2023","Sun Apr 23 19:35:09 BST 2023","6837","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","And I add Coins filter with mineable toggle yes",""
"passed","Sun Apr 23 19:35:14 BST 2023","Sun Apr 23 19:35:14 BST 2023","2","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","",""
"passed","Sun Apr 23 19:34:55 BST 2023","Sun Apr 23 19:34:58 BST 2023","2821","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","Given I am on the home page",""
"broken","Sun Apr 23 19:15:26 BST 2023","Sun Apr 23 19:15:37 BST 2023","10869","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","And I click on show result button",""
"passed","Sun Apr 23 19:35:11 BST 2023","Sun Apr 23 19:35:13 BST 2023","2542","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","And I click on apply filter button",""
"passed","Sun Apr 23 19:02:01 BST 2023","Sun Apr 23 19:02:07 BST 2023","6480","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","When I filter by PoW Algorithm filter",""
"passed","Sun Apr 23 19:34:58 BST 2023","Sun Apr 23 19:35:02 BST 2023","3725","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","When I filter by PoW algorithm filter",""
"broken","Sun Apr 23 19:12:29 BST 2023","Sun Apr 23 19:12:29 BST 2023","6","","Get cryptocurrency data on home page after applying filter: As a user, I can filter by algorithm and add specific filter","","","","When I filter by PoW filter",""
